JSHSHIR,NS10_CODE,NS11_CODE,NA2_CODE,MONTH,NAC,UPL,YEAR,DISTRICT_NAME
YTT_001011,26,2603,51,7,1441490.1012473146,1264130.9672049866,2026,Yunusobod tumani
YTT_003435,26,2608,172,11,7919126.263441999,6737522.36590624,2026,Yashnobod tumani
YTT_001862,26,2601,47,12,6408809.015329019,5025991.245030168,2026,Mirobod tumani
YTT_000565,26,2601,181,12,3173867.936662598,2487893.837221169,2026,Mirobod tumani
YTT_003208,26,2609,47,8,2007990.2591174385,1738577.1820783182,2026,Olmazor tumani
YTT_001745,5026,2601,46,5,1059231.970570706,826775.524913229,2026,Mirobod tumani
YTT_004067,26,2610,199,6,5954127.988789686,5186154.742598166,2026,Uchtepa tumani
YTT_002358,26,2606,99,2,1466245.3578470303,1156262.2868384772,2026,Chilonzor tumani
YTT_001753,26,2601,130,11,6170631.030157254,5342816.152189704,2026,Mirobod tumani
YTT_001116,26,2603,32,9,4727487.008003794,3424961.5339339115,2026,Yunusobod tumani
YTT_000131,26,5026,46,1,367914.7184875793,301335.0859682521,2026,Toshkent shahri (maxsus toifa)
YTT_001217,26,2607,199,12,4324007.917488505,3595595.2161051645,2026,Sergeli tumani
YTT_004117,26,2609,134,6,4468162.650730876,3168597.8787962985,2026,Olmazor tumani
YTT_000867,26,2606,172,12,1977459.3464684198,1875344.7322852737,2026,Chilonzor tumani
YTT_000503,26,2605,99,4,9226531.50500159,6996608.105780206,2026,Shayxontohur tumani
YTT_003863,26,2607,100,4,712113.5733584297,705605.610233921,2026,Sergeli tumani
YTT_001771,26,2608,199,3,2889917.1563665066,2090961.7421967888,2026,Yashnobod tumani
YTT_000592,26,2607,199,9,5831778.110922138,4184056.318590096,2026,Sergeli tumani
YTT_003963,26,2602,186,6,6269246.438883878,5630154.523103149,2026,Mirzo Ulug'bek tumani
YTT_000686,26,5026,99,5,4730152.360187176,3906538.319819272,2026,Toshkent shahri (maxsus toifa)
YTT_001589,26,2605,51,9,2091837.4352307187,1521894.821377833,2026,Shayxontohur tumani
YTT_002280,26,2604,47,12,86550.3009628248,80406.03684056783,2026,Yakkasaroy tumani
YTT_001368,26,2601,186,5,2541683.0729160346,2248766.881943124,2026,Mirobod tumani
YTT_003244,26,2604,199,10,4915624.973913643,4182906.229126875,2026,Yakkasaroy tumani
YTT_002569,26,5026,46,8,14402349.131633634,14161476.74311334,2026,Toshkent shahri (maxsus toifa)
YTT_002833,26,2611,46,8,5653121.377356159,4929579.008253431,2026,Bektemir tumani
YTT_003095,26,2603,172,5,4916690.9234390175,4651819.211242086,2026,Yunusobod tumani
YTT_003638,26,2612,182,12,531126.6774081511,374692.10350009124,2026,Yangihayot tumani
YTT_002288,26,2607,1,10,1920785.9414743425,1831397.5449147073,2026,Sergeli tumani
YTT_000540,26,2603,130,7,628750.5991455382,571547.5924527788,2026,Yunusobod tumani
YTT_003107,26,2608,46,9,8134979.029969891,6382788.9210571535,2026,Yashnobod tumani
YTT_004235,26,2608,38,1,6577274.077854414,4856046.958699677,2026,Yashnobod tumani
YTT_000001,26,2608,99,5,1362961.5539237286,1232053.7770385423,2026,Yashnobod tumani
YTT_000117,26,2601,1,4,8756662.78761665,6970433.880792549,2026,Mirobod tumani
YTT_003496,26,2604,181,9,9391266.88922064,7573789.631655975,2026,Yakkasaroy tumani
YTT_004924,5026,2604,38,10,4996150.401952623,4169455.663832587,2026,Yakkasaroy tumani
YTT_001027,26,2604,172,5,6979189.368315386,6542806.571666581,2026,Yakkasaroy tumani
YTT_000937,26,2605,134,10,296408.53224368894,256351.48740111024,2026,Shayxontohur tumani
YTT_004577,26,5026,172,11,622529.8877622543,462475.90016736434,2026,Toshkent shahri (maxsus toifa)
YTT_000281,26,2601,182,6,439277.6083430254,399870.33891701273,2026,Mirobod tumani
YTT_001762,26,2611,134,2,424243.75290156034,307768.18809441966,2026,Bektemir tumani
YTT_001961,26,2601,51,4,1350423.7129787074,1313027.9306374777,2026,Mirobod tumani
YTT_002224,26,2606,181,3,7506212.702273129,6511799.213302249,2026,Chilonzor tumani
YTT_004167,26,2603,99,3,1463018.6456163982,1201958.5143926449,2026,Yunusobod tumani
YTT_001729,26,2612,100,9,6817024.807062513,6164716.165675941,2026,Yangihayot tumani
YTT_003614,26,2601,130,8,3757803.7814892964,3122361.9784456254,2026,Mirobod tumani
YTT_001246,26,5026,182,5,221853.8328595765,216838.38305314793,2026,Toshkent shahri (maxsus toifa)
YTT_004056,26,2603,38,4,392157.16244397697,294064.7853503637,2026,Yunusobod tumani
YTT_004675,26,2601,47,6,4389129.309028778,4258980.227093764,2026,Mirobod tumani
YTT_001085,26,2610,100,6,3040876.3097981,2694337.374535144,2026,Uchtepa tumani
YTT_000636,26,2604,134,8,2179767.6730836667,1907507.7886016374,2026,Yakkasaroy tumani
YTT_001882,26,2604,172,6,164248.2037934336,128758.93871723874,2026,Yakkasaroy tumani
YTT_003857,26,2612,182,3,8644972.556836357,8514779.045253722,2026,Yangihayot tumani
YTT_001957,26,2602,134,8,10464112.78443559,9056442.261753323,2026,Mirzo Ulug'bek tumani
YTT_003955,26,2601,51,1,3273192.0833962476,3258743.6086530983,2026,Mirobod tumani
YTT_003055,26,2609,51,11,9229566.037168173,8781919.268313253,2026,Olmazor tumani
YTT_000852,26,2601,47,7,10002130.70001655,9440714.1318599,2026,Mirobod tumani
YTT_003907,26,2605,47,5,7075140.281354252,5754601.889401861,2026,Shayxontohur tumani
YTT_004796,26,2601,38,4,1298018.6270924185,1170177.0390215514,2026,Mirobod tumani
YTT_002848,26,2608,99,10,3447421.352525473,2905704.6240912755,2026,Yashnobod tumani
YTT_001964,26,2612,1,6,17205999.41026969,12500545.138916474,2026,Yangihayot tumani
YTT_000995,26,2607,199,5,4841994.835303398,4412141.564945796,2026,Sergeli tumani
YTT_003678,26,2612,32,6,4683587.851406839,4173045.3791099684,2026,Yangihayot tumani
YTT_001316,26,2602,46,9,3607625.1403616057,3373475.491278643,2026,Mirzo Ulug'bek tumani
YTT_003523,26,2610,38,1,14930952.076873338,11110450.582470458,2026,Uchtepa tumani
YTT_004211,26,2601,181,4,3072934.8368534874,3054527.2583512357,2026,Mirobod tumani
YTT_002366,26,2611,172,11,394476.5248811752,291385.5748649122,2026,Bektemir tumani
YTT_003083,26,2611,51,8,992664.9076981104,902283.2044938478,2026,Bektemir tumani
YTT_003873,26,2603,172,2,4605704.820546034,3533288.190958064,2026,Yunusobod tumani
YTT_001731,26,2612,134,6,464429.53930183785,341908.73612284486,2026,Yangihayot tumani
YTT_002557,26,2602,1,10,5862287.170062711,4172738.7349493536,2026,Mirzo Ulug'bek tumani
YTT_001186,26,2606,199,8,10340673.492440453,10095203.691338114,2026,Chilonzor tumani
YTT_001468,26,2604,1,8,6896786.201071542,5209530.946781495,2026,Yakkasaroy tumani
YTT_004996,26,2608,51,10,7134652.884023545,6131376.041947546,2026,Yashnobod tumani
YTT_001507,26,2608,38,7,5810404.997737273,5539246.189785009,2026,Yashnobod tumani
YTT_000739,26,2602,134,6,3803033.9952764497,2938760.8671459183,2026,Mirzo Ulug'bek tumani
YTT_000444,26,2612,134,7,1943623.8062806788,1483829.2784532015,2026,Yangihayot tumani
YTT_001879,26,2609,1,4,3211984.6115394407,2590566.0953649767,2026,Olmazor tumani
YTT_003593,26,2604,199,6,4419615.289356868,4082097.41176837,2026,Yakkasaroy tumani
YTT_004337,26,2610,130,5,2255574.127373117,2015976.1545527151,2026,Uchtepa tumani
YTT_001717,26,2611,182,6,4654165.042336047,3589143.3219961924,2026,Bektemir tumani
YTT_002476,26,2606,99,4,9512925.049380977,6909868.050072241,2026,Chilonzor tumani
YTT_001347,26,2607,130,7,265081.6681241397,187007.89190922386,2026,Sergeli tumani
YTT_004710,5026,2606,32,4,17445298.320633575,16741417.827399898,2026,Chilonzor tumani
YTT_001617,5026,2608,51,3,8597979.397220649,7871769.821785273,2026,Yashnobod tumani
YTT_000812,26,2603,182,12,1147553.6451175592,1136535.0874230224,2026,Yunusobod tumani
YTT_004186,26,2604,1,12,609916.3607206772,538669.5987252059,2026,Yakkasaroy tumani
YTT_000904,26,2611,199,4,1933036.6363671634,1697524.9810466042,2026,Bektemir tumani
YTT_002876,26,2610,47,7,3980574.8042341983,3027303.3216434144,2026,Uchtepa tumani
YTT_004411,26,2601,199,5,13572.902782280502,9976.203247697295,2026,Mirobod tumani
YTT_002560,26,2601,47,12,16765881.947078459,12361303.135547401,2026,Mirobod tumani
YTT_004501,26,2603,38,1,6756965.76594311,5894384.583923604,2026,Yunusobod tumani
YTT_002219,26,2611,130,5,1125898.8653351148,843407.2178479338,2026,Bektemir tumani
YTT_003941,26,2603,172,10,11922563.279511388,9476756.424016528,2026,Yunusobod tumani
YTT_002132,26,2608,100,7,6255015.549744354,6066741.042791443,2026,Yashnobod tumani
YTT_002987,26,2607,199,1,1321212.654985326,1281407.6515837435,2026,Sergeli tumani
YTT_003221,26,2605,100,8,4893996.519286654,3597427.1448021065,2026,Shayxontohur tumani
YTT_004538,26,2603,100,10,749884.103082129,703546.9322216624,2026,Yunusobod tumani
YTT_002897,26,2607,172,4,30358204.153505705,28103225.164615963,2026,Sergeli tumani
YTT_004933,26,2607,1,4,4218567.781930715,3917942.5413671746,2026,Sergeli tumani
YTT_003057,26,2606,51,4,3053231.814409725,2690469.2869593054,2026,Chilonzor tumani
YTT_000072,26,2605,182,4,6405215.488224527,5867247.594548907,2026,Shayxontohur tumani
YTT_003391,26,2604,46,10,1450418.4962970496,1165714.1063300956,2026,Yakkasaroy tumani
YTT_004333,5026,2608,51,6,2561228.2973951115,2147850.509532815,2026,Yashnobod tumani
YTT_004715,26,2610,182,8,3524972.2039658865,3114088.2979474245,2026,Uchtepa tumani
YTT_000416,26,2611,181,12,4163577.3197169886,3784671.994818687,2026,Bektemir tumani
YTT_004129,26,2610,1,12,2345503.143131086,1690348.9063563338,2026,Uchtepa tumani
YTT_001874,26,2608,130,6,12077996.241174014,8899589.817274334,2026,Yashnobod tumani
YTT_003973,26,2606,99,9,2018431.5504512007,1601490.7639428733,2026,Chilonzor tumani
YTT_002204,26,2609,47,9,1150713.7456078536,1077455.818003892,2026,Olmazor tumani
YTT_002512,26,2604,130,10,12619627.380765209,10144966.384651357,2026,Yakkasaroy tumani
YTT_002353,26,2611,1,11,166991.16892815317,162620.14817312613,2026,Bektemir tumani
YTT_004208,26,2604,51,5,12316463.676264064,9960547.961875759,2026,Yakkasaroy tumani
YTT_001944,26,2610,181,2,5446340.985179945,4103332.064585621,2026,Uchtepa tumani
YTT_004985,26,2606,51,12,3829339.0891327444,2892448.6275982885,2026,Chilonzor tumani
YTT_001189,26,5026,186,7,2782506.1377864517,2615373.8120443905,2026,Toshkent shahri (maxsus toifa)
YTT_002415,26,5026,1,8,4427033.024740655,3489446.7690166123,2026,Toshkent shahri (maxsus toifa)
YTT_004850,26,2606,181,1,2560491.006374607,2222229.914997984,2026,Chilonzor tumani
YTT_003728,26,2608,182,7,14604558.546323428,11858796.312075086,2026,Yashnobod tumani
YTT_000483,26,2602,181,1,128570.74366323515,96022.51723475964,2026,Mirzo Ulug'bek tumani
YTT_002825,26,2601,130,7,1464401.5598805766,1111237.5906476357,2026,Mirobod tumani
YTT_000143,26,2606,130,5,983388.5472589267,880942.8971000608,2026,Chilonzor tumani
YTT_002420,26,2608,186,8,8221444.805488075,8129321.835703536,2026,Yashnobod tumani
YTT_004648,26,2605,186,7,11332993.143154522,7977300.413206662,2026,Shayxontohur tumani
YTT_002062,26,2605,38,3,4373843.643721833,3614664.078180481,2026,Shayxontohur tumani
YTT_003425,26,2605,46,11,1501631.2607363926,1222189.2793859497,2026,Shayxontohur tumani
YTT_002185,26,2604,47,5,2633180.196399056,2279318.048708548,2026,Yakkasaroy tumani
YTT_004447,26,2603,46,10,7211272.518663181,5351009.051236399,2026,Yunusobod tumani
YTT_002857,26,2611,186,7,8043572.269649502,6656571.254723415,2026,Bektemir tumani
YTT_000516,26,2609,100,2,5018486.659672682,3901202.4344829945,2026,Olmazor tumani
YTT_003352,26,2604,134,10,11541622.722721381,10472482.475373747,2026,Yakkasaroy tumani
YTT_004372,26,2602,47,10,4296203.344340779,3360561.4277336723,2026,Mirzo Ulug'bek tumani
YTT_001298,26,2606,134,12,1156012.6375226793,813022.2413326468,2026,Chilonzor tumani
YTT_003280,26,2606,172,8,1443283.806944411,1284420.719776589,2026,Chilonzor tumani
YTT_004181,26,2601,134,5,2415553.996639342,2066929.9187244016,2026,Mirobod tumani
YTT_001128,26,2606,172,1,432141.37835921795,380693.06003497506,2026,Chilonzor tumani
YTT_001648,26,2608,172,4,6347819.933193434,5009296.49794063,2026,Yashnobod tumani
YTT_001598,26,2607,199,8,13809608.237564845,12701685.866768839,2026,Sergeli tumani
YTT_000467,26,2604,38,3,9210939.17234848,8786520.785154343,2026,Yakkasaroy tumani
YTT_004890,26,2602,130,10,3214526.6263575284,2582277.841352439,2026,Mirzo Ulug'bek tumani
YTT_002472,26,2609,182,11,4560075.15696782,3820907.2838152996,2026,Olmazor tumani
YTT_001843,26,2605,181,12,17163345.53987914,12041393.808911815,2026,Shayxontohur tumani
YTT_002498,26,2612,172,11,16363860.647604408,15333003.989059474,2026,Yangihayot tumani
YTT_004553,26,2612,186,8,7102202.070914859,6332925.743959633,2026,Yangihayot tumani
YTT_000230,26,2606,51,8,1436197.5777006005,1216211.5885655652,2026,Chilonzor tumani
YTT_004619,5026,5026,134,10,4436861.60729957,4436001.077412935,2026,Toshkent shahri (maxsus toifa)
YTT_001346,26,2610,99,5,6565659.506192625,4975323.545634092,2026,Uchtepa tumani
YTT_002784,5026,2607,182,2,6833724.478748522,4896122.935274166,2026,Sergeli tumani
YTT_004887,26,2610,99,1,5251501.914847696,4250613.831552806,2026,Uchtepa tumani
YTT_001457,26,2602,38,5,3777934.277191066,3144411.1503973627,2026,Mirzo Ulug'bek tumani
YTT_003706,26,2608,1,4,7820486.666689938,6222180.576429246,2026,Yashnobod tumani
YTT_003033,26,5026,134,12,1326078.2148292474,937961.9538345529,2026,Toshkent shahri (maxsus toifa)
YTT_002898,5026,2611,99,2,13989959.213963315,13145454.916555688,2026,Bektemir tumani
YTT_000236,26,2601,182,5,3267530.1526334225,2856563.612635737,2026,Mirobod tumani
YTT_000506,5026,2610,186,9,2050156.0632879126,1756483.0109756838,2026,Uchtepa tumani
YTT_000092,26,2608,186,2,1757073.4486615278,1353091.207094468,2026,Yashnobod tumani
YTT_001001,26,2605,186,9,579678.9568857452,473881.195226057,2026,Shayxontohur tumani
YTT_002997,26,2610,47,5,468318.19320503477,386490.9375733507,2026,Uchtepa tumani
YTT_003112,26,2608,172,2,913811.9462839927,911390.8818025534,2026,Yashnobod tumani
YTT_003641,26,2606,47,3,3594258.762962206,2764707.2317087627,2026,Chilonzor tumani
YTT_004210,26,2609,1,10,7561203.787863983,6087053.182256289,2026,Olmazor tumani
YTT_001397,26,2607,1,9,13138272.769033773,13118202.044515945,2026,Sergeli tumani
YTT_004160,26,2603,32,2,5953977.012106687,4442671.715056127,2026,Yunusobod tumani
YTT_001586,26,5026,100,9,4493972.620934594,3927848.2953956854,2026,Toshkent shahri (maxsus toifa)
YTT_002211,26,2608,38,11,693523.3048470016,670376.5650510491,2026,Yashnobod tumani
YTT_004898,26,2610,130,8,13411143.933070965,12345813.572518436,2026,Uchtepa tumani
YTT_000715,26,2606,100,11,6426277.899985342,5454385.113232447,2026,Chilonzor tumani
YTT_001954,5026,5026,181,5,23823957.84893735,17116444.206290796,2026,Toshkent shahri (maxsus toifa)
YTT_003196,26,5026,38,10,4235210.454556722,3805902.430376972,2026,Toshkent shahri (maxsus toifa)
YTT_001043,26,5026,1,6,3682991.3926084973,3537322.605442524,2026,Toshkent shahri (maxsus toifa)
YTT_002439,26,2609,182,11,1363573.43222338,1334975.3500130894,2026,Olmazor tumani
YTT_002553,26,2606,181,7,10670001.135464497,10546171.35976685,2026,Chilonzor tumani
YTT_000675,26,2610,134,11,1297904.2586981487,1262355.1708442927,2026,Uchtepa tumani
YTT_000035,26,5026,182,12,32031.743087075833,25180.519682368882,2026,Toshkent shahri (maxsus toifa)
YTT_002821,26,2609,1,8,1504198.4850505851,1339040.0649701694,2026,Olmazor tumani
YTT_000948,26,2606,38,7,3896430.0953494473,3853170.3743697307,2026,Chilonzor tumani
YTT_002222,26,2605,182,6,13841269.634193843,12545252.271899015,2026,Shayxontohur tumani
YTT_001634,26,2601,181,6,6164811.588893958,5191216.2509124335,2026,Mirobod tumani
YTT_001400,26,2611,32,2,23100593.17231327,20855577.667567883,2026,Bektemir tumani
YTT_004687,26,2603,46,12,124471.11141255657,87955.90090295176,2026,Yunusobod tumani
YTT_001790,26,2603,172,10,5150.0506199075,3850.5974952301976,2026,Yunusobod tumani
YTT_004643,26,5026,130,7,3743554.1757666017,3548051.662535387,2026,Toshkent shahri (maxsus toifa)
YTT_001158,26,2602,199,4,5313975.472115715,4155411.157678128,2026,Mirzo Ulug'bek tumani
YTT_004804,5026,2608,181,5,12013381.52081115,11499305.230675295,2026,Yashnobod tumani
YTT_003545,26,2605,38,11,2632522.8792271162,2548886.998454201,2026,Shayxontohur tumani
YTT_004793,26,2609,100,12,4136254.099785069,3480491.2912337757,2026,Olmazor tumani
YTT_001029,5026,2609,1,5,834158.9541770157,697447.0502516445,2026,Olmazor tumani
YTT_000690,26,2603,182,12,165334.56674992855,161408.5907133132,2026,Yunusobod tumani
YTT_002810,26,2609,186,7,668718.7455816921,605638.2295742175,2026,Olmazor tumani
YTT_004302,26,2609,181,6,4361027.161624753,3404645.2760491385,2026,Olmazor tumani
YTT_001145,26,5026,1,8,3123692.6337421197,2824246.0490213754,2026,Toshkent shahri (maxsus toifa)
YTT_003497,26,2606,172,9,9834937.522015512,9185391.99108529,2026,Chilonzor tumani
YTT_000938,26,2603,100,9,1385656.4139235911,1380112.0949682451,2026,Yunusobod tumani
YTT_003420,26,2606,51,12,6061116.57428869,5260410.375380497,2026,Chilonzor tumani
YTT_000248,26,2601,32,1,459844.58552025363,370261.37862041476,2026,Mirobod tumani
YTT_000774,26,2610,51,7,711942.5296233068,619576.710889082,2026,Uchtepa tumani
YTT_004528,26,2602,134,7,5549156.814248433,5468499.777261439,2026,Mirzo Ulug'bek tumani
YTT_002991,26,2606,130,6,4793441.995241752,4236843.101231107,2026,Chilonzor tumani
YTT_001169,26,2608,100,2,4908210.052233907,4589308.026148272,2026,Yashnobod tumani
YTT_002715,26,2607,172,4,4025999.670101439,3539831.056825924,2026,Sergeli tumani
YTT_000787,26,2603,199,9,895630.2253583395,744790.1217953335,2026,Yunusobod tumani
YTT_001449,26,2612,182,9,10270177.785011992,7864534.4364469405,2026,Yangihayot tumani
YTT_002100,26,5026,99,5,5375081.026707593,4565909.421623594,2026,Toshkent shahri (maxsus toifa)
YTT_001333,26,2603,51,5,28043156.160238523,27831092.37317145,2026,Yunusobod tumani
YTT_003617,26,2603,38,6,155660.5826180974,120995.7283995791,2026,Yunusobod tumani
YTT_004165,26,2610,182,8,2771217.8970370693,2227450.900693207,2026,Uchtepa tumani
YTT_002919,26,2612,100,2,10088214.958778694,8813091.045056302,2026,Yangihayot tumani
YTT_004509,26,2602,46,2,4553078.890339211,4270272.719831864,2026,Mirzo Ulug'bek tumani
YTT_003720,26,2603,134,6,2224807.327635785,1813560.9161953293,2026,Yunusobod tumani
YTT_003172,26,2601,38,10,6290824.545635549,6119146.410080195,2026,Mirobod tumani
YTT_004288,26,2602,99,5,9633948.83878329,8166538.092194185,2026,Mirzo Ulug'bek tumani
YTT_002364,26,2608,99,9,5432745.892296759,3958181.5944180787,2026,Yashnobod tumani
YTT_003652,26,2609,181,2,9759157.113523962,6857848.719276442,2026,Olmazor tumani
YTT_002136,26,2608,46,7,3023754.610823689,2330755.830655864,2026,Yashnobod tumani
YTT_001785,26,2610,182,10,5534085.301592207,4115848.4956946853,2026,Uchtepa tumani
YTT_004762,26,2611,181,1,1455290.7053203606,1175547.7760208226,2026,Bektemir tumani
YTT_003121,26,2605,199,5,3812614.111824427,3563029.331493608,2026,Shayxontohur tumani
YTT_004891,26,2612,199,6,1152359.2518528677,845342.9589600543,2026,Yangihayot tumani
YTT_000462,5026,2609,199,5,13791906.027009832,9817120.94360786,2026,Olmazor tumani
YTT_002944,26,2605,47,11,1900128.055283935,1619232.9658803728,2026,Shayxontohur tumani
YTT_000987,26,2604,47,2,16779021.539099544,11770181.49132004,2026,Yakkasaroy tumani
YTT_004825,26,5026,130,7,3032461.3454600475,2591780.44978382,2026,Toshkent shahri (maxsus toifa)
YTT_002248,26,2604,99,4,6098491.737704197,4638244.699392599,2026,Yakkasaroy tumani
YTT_004151,26,2605,1,7,5582895.419522681,4651250.113696179,2026,Shayxontohur tumani
YTT_002849,5026,2602,1,7,19229137.274111893,15619617.266854534,2026,Mirzo Ulug'bek tumani
YTT_000398,26,2601,134,8,9997935.89397322,9303637.327717025,2026,Mirobod tumani
YTT_002734,26,2604,1,1,1214659.9900901197,1090358.5386860808,2026,Yakkasaroy tumani
YTT_003455,26,2609,134,12,867527.3362881017,764713.3549403001,2026,Olmazor tumani
YTT_001643,5026,2609,130,9,474200.7754950054,373009.0228289636,2026,Olmazor tumani
YTT_002636,26,5026,51,4,5506981.585861535,5189524.928048118,2026,Toshkent shahri (maxsus toifa)
YTT_000296,26,2607,38,11,2355399.055662737,1858553.0216502862,2026,Sergeli tumani
YTT_003595,26,2601,181,10,2522335.175943337,2291895.042905004,2026,Mirobod tumani
YTT_003324,26,2601,1,1,2938708.4043303933,2070026.5441738698,2026,Mirobod tumani
YTT_002107,26,2610,32,9,2388451.7238994995,2290525.4298157315,2026,Uchtepa tumani
YTT_000439,26,2612,47,10,576596.0397586377,429389.6620636575,2026,Yangihayot tumani
YTT_000622,26,2612,46,11,7238365.643934405,6832262.362793445,2026,Yangihayot tumani
YTT_004896,26,2605,99,11,37958.09265707844,33943.736417853645,2026,Shayxontohur tumani
YTT_003562,5026,2604,172,3,310799.5096936032,304686.33447688,2026,Yakkasaroy tumani
YTT_002474,26,5026,46,5,1676474.9629583098,1328081.6538409938,2026,Toshkent shahri (maxsus toifa)
YTT_001274,26,2608,134,4,6322787.510162058,5184505.951162469,2026,Yashnobod tumani
YTT_003922,26,2611,99,12,1001032.8074182362,858434.6980844146,2026,Bektemir tumani
YTT_004988,26,2601,134,10,12490110.766381977,10333795.905688234,2026,Mirobod tumani
YTT_002105,26,2601,181,8,3738008.322323492,2742544.1978391106,2026,Mirobod tumani
YTT_000078,26,2606,47,6,4501331.1774375485,4222803.006391427,2026,Chilonzor tumani
YTT_003528,26,2610,130,10,11514081.76856428,9280654.036010075,2026,Uchtepa tumani
YTT_000148,26,2602,100,3,9524895.967010789,8586002.214996662,2026,Mirzo Ulug'bek tumani
YTT_001428,26,2604,134,1,2757759.05980706,2056999.080686548,2026,Yakkasaroy tumani
YTT_002877,26,2607,47,1,982787.8396286534,780020.5619364205,2026,Sergeli tumani
YTT_002585,26,2611,134,9,2478913.325326026,2177335.9203934134,2026,Bektemir tumani
YTT_003403,5026,2603,99,5,5632609.494473468,4690922.183265485,2026,Yunusobod tumani
YTT_004681,26,2601,172,7,2085841.807555955,1972397.2876532876,2026,Mirobod tumani
YTT_002504,26,2610,99,4,447754.35531953967,433541.40630903206,2026,Uchtepa tumani
YTT_004586,26,2601,172,6,2192496.174052104,1580410.774719114,2026,Mirobod tumani
YTT_000438,26,2612,47,12,1330986.5384210302,1147315.1535723924,2026,Yangihayot tumani
YTT_003134,26,2603,51,12,1960280.2124207302,1568029.2669543813,2026,Yunusobod tumani
YTT_004066,26,2612,32,6,4079777.5548399063,3750111.7540198546,2026,Yangihayot tumani
YTT_002017,26,2612,134,4,16307055.800710408,14521237.728899665,2026,Yangihayot tumani
